id,text,label,subtype,category,language,delivery_mode,brand_used,sender_id,source,cluster_id,cluster_label
18,"प्रिय उपयोगकर्ता , असामान्य लॉगिन गतिविधि के कारण आपका Google Account खाता निलंबित किया जा सकता है। कृपया आज ही कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा। नीचे दी गई पीडीएफ फाइल खोलकर अपना विवरण देखें। [अग्रेषित] Google_Secure.apk 14 MB . APK",spam,apk_fraud,security_verify,hi,pdf_then_apk,Google Account,AX-PWRBIL,synthetic_v2,9,direct_apk_7
30,"प्रिय ग्राहक,
आपके वाहन पर एक यातायात नियम उल्लंघन दर्ज किया गया है। जुर्माना राशि: रु 50000। चालान संख्या: CH31439705।
कृपया आज ही कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
आपके हालिया अनुरोध के संबंध में एक महत्वपूर्ण अपडेट है। कृपया नीचे दिया गया दस्तावेज़ खोलें और प्रक्रिया पूरी करने हेतु चरणों का पालन करें।
[अग्रेषित] RTOCHALAN.apk",spam,apk_fraud,rto_challan,hi,no_explicit_app_word,RTO Traffic Police,INFO-GOVT,synthetic_v2,9,direct_apk_7
44,"प्रिय उपयोगकर्ता,
आपका State Electricity Board बिजली बिल रु 500 बकाया है।
कृपया तुरंत कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें।
[अग्रेषित] Electricity_Pay.apk  14 MB . APK",spam,apk_fraud,electricity,hi,attached_file_no_link,State Electricity Board,+91 8800XXXX12,synthetic_v2,9,direct_apk_7
61,"आदरणीय ग्राहक,
आपका FedEx पार्सल ट्रैकिंग कोड GB-5357-F96 अधूरे पते के कारण वितरित नहीं किया जा सका।
कृपया आज ही कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
fedex-delivery-in.xyz
FedEx_Delivery.apk",spam,apk_fraud,courier,hi,link_apk,FedEx,JD-ITAXRF,synthetic_v2,9,direct_apk_7
69,"प्रिय उपयोगकर्ता,
आपका Axis Bank केवाईसी समाप्त हो गया है और इसे पुनः सत्यापित करना आवश्यक है।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
axis-secure-bank.tk
Axis_Secure.apk",spam,apk_fraud,bank_kyc,hi,link_apk,Axis Bank,+91 7700XXXX45,synthetic_v2,9,direct_apk_7
105,"आपके SBI खाते से रु 750 डेबिट हुए हैं। यदि यह आपने नहीं किया है तो तुरंत खाता सुरक्षित करें।
कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
sbi-secure-update.in
SBI_Secure.apk",spam,apk_fraud,bank_alert,hi,link_apk,SBI,VK-RTOGOV,synthetic_v2,9,direct_apk_7
133,"आदरणीय ग्राहक,
आपका India Post पार्सल ट्रैकिंग कोड GB-4027-G18 अधूरे पते के कारण वितरित नहीं किया जा सका।
कृपया आज ही कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
indiapost-track.info
IndiaPost_Track.apk",spam,apk_fraud,courier,hi,link_apk,India Post,AD-NETFLX,synthetic_v2,9,direct_apk_7
137,"प्रिय उपयोगकर्ता,
Congratulations! You are eligible for a pre-approved offer of Rs 5000 from HR Recruitment Cell.
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें।
[अग्रेषित] Job_Portal.apk  14 MB . APK",spam,apk_fraud,loan_job,hi,attached_file_no_link,HR Recruitment Cell,VK-INDPST,synthetic_v2,9,direct_apk_7
138,"Congratulations! You are eligible for a pre-approved offer of Rs 1000 from InstaCredit.
कृपया तुरंत कार्रवाई करें , अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दी गई पीडीएफ फाइल खोलकर अपना विवरण देखें।
[अग्रेषित] InstaCredit.apk  14 MB . APK",spam,apk_fraud,loan_job,hi,pdf_then_apk,InstaCredit,VK-UPIRWD,synthetic_v2,9,direct_apk_7
151,"You have received a cashback of Rs 25000 from UPI Rewards.
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
upi-cashback-claim.xyz
UPI_Cashback.apk",spam,apk_fraud,upi_cashback,hi,link_apk,UPI Rewards,+91 7700XXXX45,synthetic_v2,9,direct_apk_7
153,"आदरणीय ग्राहक,
आपका State Electricity Board बिजली बिल रु 5000 बकाया है।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
हमने आपसे संपर्क करने का प्रयास किया। कृपया नीचे दिए गए नंबर पर कॉल करें, हमारा प्रतिनिधि आपको सत्यापन प्रक्रिया में मार्गदर्शन करेगा।",spam,apk_fraud,electricity,hi,vishing_callback,State Electricity Board,AX-PWRBIL,synthetic_v2,9,direct_apk_7
155,"प्रिय ग्राहक,
Income Tax Department: आप रु 2000 की वापसी के पात्र हैं।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
incometax-refund.xyz
TaxRefund_IT.apk",spam,apk_fraud,govt_refund,hi,link_apk,Income Tax Department,+91 8800XXXX12,synthetic_v2,9,direct_apk_7
164,"प्रिय ग्राहक,
आपका Axis Bank केवाईसी समाप्त हो गया है और इसे पुनः सत्यापित करना आवश्यक है।
कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें।
[अग्रेषित] Axis_Secure.apk  14 MB . APK",spam,apk_fraud,bank_kyc,hi,attached_file_no_link,Axis Bank,+91 8800XXXX12,synthetic_v2,9,direct_apk_7
170,"प्रिय ग्राहक, आपका DTDC Courier पार्सल ट्रैकिंग कोड GB-5070-E27 अधूरे पते के कारण वितरित नहीं किया जा सका। कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा। नीचे दिए गए लिंक से ऐप इंस्टॉल करें। dtdc-parcel-track.in DTDC_Parcel.apk",spam,apk_fraud,courier,hi,link_apk,DTDC Courier,VK-LOANAP,synthetic_v2,9,direct_apk_7
172,"प्रिय उपयोगकर्ता,
Netflix: Your membership has expired.
कृपया आज ही कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
netflix-update-app.xyz
Netflix_Update.apk",spam,apk_fraud,ott_subscription,hi,link_apk,Netflix,VK-UPIRWD,synthetic_v2,9,direct_apk_7
174,"आदरणीय ग्राहक, Disney+ Hotstar: YOUR membership has expired.. कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी। आपके हालिया अनुरोध के संबंध में एक महत्वपूर्ण अपडेट है। कृपया नीचे दिया गया दस्तावेज़ खोलें और प्रक्रिया पूरी करने हेतु चरणों का पालन करें। [अग्रेषित] Hotstar_Renew.apk",spam,apk_fraud,ott_subscription,hi,no_explicit_app_word,Disney+ Hotstar,+91 8800XXXX12,synthetic_v2,9,direct_apk_7
179,"असामान्य लॉगिन गतिविधि के कारण आपका WhatsApp खाता निलंबित किया जा सकता है।
कृपया तुरंत कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
इस संदेश के साथ संलग्न क्यूआर कोड स्कैन करें और तुरंत सत्यापित करें।",spam,apk_fraud,security_verify,hi,qr_code,WhatsApp,+91 8800XXXX12,synthetic_v2,9,direct_apk_7
180,"प्रिय उपयोगकर्ता,
आपका DTDC Courier पार्सल ट्रैकिंग कोड GB-7293-E78 अधूरे पते के कारण वितरित नहीं किया जा सका।
कृपया आज ही कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें।
[अग्रेषित] DTDC_Parcel.apk  14 MB . APK",spam,apk_fraud,courier,hi,attached_file_no_link,DTDC Courier,VK-INDPST,synthetic_v2,9,direct_apk_7
190,"प्रिय ग्राहक,
Income Tax Dept e-Filing: आप रु 200 की वापसी के पात्र हैं।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें।
[अग्रेषित] IT_Refund_Portal.apk  14 MB . APK",spam,apk_fraud,govt_refund,hi,attached_file_no_link,Income Tax Dept e-Filing,VK-UPIRWD,synthetic_v2,9,direct_apk_7
196,"आपका Power Distribution Co बिजली बिल रु 1000 बकाया है।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
powerpay-bill..in
PowerPay_App.apk",spam,apk_fraud,electricity,hi,link_apk,Power Distribution Co,INFO-GOVT,synthetic_v2,9,direct_apk_7
226,"आदरणीय ग्राहक,
आपके वाहन पर एक यातायात नियम उल्लंघन दर्ज किया गया है। जुर्माना राशि: रु 200। चालान संख्या: CH77406294।
कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
कृपया संलग्न फ़ाइल देखें और आगे बढ़ने हेतु उसे खोलें।
[अग्रेषित] VAHAN_PARIVAHAN.apk  14 MB . APK",spam,apk_fraud,rto_challan,hi,attached_file_no_link,Parivahan / RTO Traffic Police,VM-SBIBNK,synthetic_v2,9,direct_apk_7
233,"आपके Paytm Payments Bank खाते से रु 750 डेबिट हुए हैं। यदि यह आपने नहीं किया है तो तुरंत खाता सुरक्षित करें।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
paytm-secure-acc.xyz
Paytm_Secure.apk",spam,apk_fraud,bank_alert,hi,link_apk,Paytm Payments Bank,AD-ICICIB,synthetic_v2,9,direct_apk_7
252,"आदरणीय ग्राहक, Netflix: Your membership has expired. कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा। नीचे दी गई पीडीएफ फाइल खोलकर अपना विवरण देखें। [अग्रेषित] Netflix_Update.apk 14 MB . APK",spam,apk_fraud,ott_subscription,hi,pdf_then_apk,Netflix,VK-UPIRWD,synthetic_v2,9,direct_apk_7
254,"प्रिय उपयोगकर्ता,
आपका India Post पार्सल ट्रैकिंग कोड GB-5230-G97 अधूरे पते के कारण वितरित नहीं किया जा सका।
कृपया तुरंत कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
इस संदेश के साथ संलग्न क्यूआर कोड स्कैन करें और तुरंत सत्यापित करें।",spam,apk_fraud,courier,hi,qr_code,India Post,VK-LOANAP,synthetic_v2,9,direct_apk_7
264,"आपके RBL Bank खाते से रु 500 डेबिट हुए हैं। यदि यह आपने नहीं किया है तो तुरंत खाता सुरक्षित करें।
कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
rbl-protect-acc.info
RBL_Protect.apk",spam,apk_fraud,bank_alert,hi,link_apk,RBL Bank,+91 8800XXXX12,synthetic_v2,9,direct_apk_7
269,"प्रिय उपयोगकर्ता,
आपके वाहन पर एक यातायात नियम उल्लंघन दर्ज किया गया है। जुर्माना राशि: रु 50000। चालान संख्या: CH87709535।
कृपया तुरंत कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
parivahan-sewa.tk/verify
ParivahanSewa.apk",spam,apk_fraud,rto_challan,hi,link_apk,Parivahan Sewa,JD-ITAXRF,synthetic_v2,9,direct_apk_7
280,"प्रिय ग्राहक,
आपके वाहन पर एक यातायात नियम उल्लंघन दर्ज किया गया है। जुर्माना राशि: रु 2000। चालान संख्या: CH44608384।
कृपया आज ही कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
हमने आपसे संपर्क करने का प्रयास किया। कृपया नीचे दिए गए नंबर पर कॉल करें, हमारा प्रतिनिधि आपको सत्यापन प्रक्रिया में मार्गदर्शन करेगा।",spam,apk_fraud,rto_challan,hi,vishing_callback,e-Challan Dept,JD-ITAXRF,synthetic_v2,9,direct_apk_7
295,"Congratulations! You are eligible for a pre-approved offer of Rs 2000 from InstaCredit.
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका खाता बंद हो जाएगा।
इस संदेश के साथ संलग्न क्यूआर कोड स्कैन करें और तुरंत सत्यापित करें।",spam,apk_fraud,loan_job,hi,qr_code,InstaCredit,VK-UPIRWD,synthetic_v2,9,direct_apk_7
300,"प्रिय उपयोगकर्ता,
आपके ICICI Bank खाते से रु 750 डेबिट हुए हैं। यदि यह आपने नहीं किया है तो तुरंत खाता सुरक्षित करें।
कृपया आज ही कार्रवाई करें, अन्यथा कानूनी कार्रवाई की जाएगी।
आपके हालिया अनुरोध के संबंध में एक महत्वपूर्ण अपडेट है। कृपया नीचे दिया गया दस्तावेज़ खोलें और प्रक्रिया पूरी करने हेतु चरणों का पालन करें।
[अग्रेषित] ",spam,apk_fraud,bank_alert,hi,no_explicit_app_word,ICICI Bank,VM-SBIBNK,synthetic_v2,9,direct_apk_7
308,"प्रिय उपयोगकर्ता,
Income Tax Dept e-Filing: आप रु 1000 की वापसी के पात्र हैं।
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
आपके हालिया अनुरोध के संबंध में एक महत्वपूर्ण अपडेट है। कृपया नीचे दिया गया दस्तावेज़ खोलें और प्रक्रिया पूरी करने हेतु चरणों का पालन करें।
[अग्रेषित] ",spam,apk_fraud,govt_refund,hi,no_explicit_app_word,Income Tax Dept e-Filing,VM-WHATSP,synthetic_v2,9,direct_apk_7
314,"आदरणीय ग्राहक,
आपका Power Distribution Co बिजली बिल रु 5000 बकाया है।
कृपया तुरंत कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
powerpay-bill.in
PowerPay_App.apk",spam,apk_fraud,electricity,hi,link_apk,Power Distribution Co,VM-WHATSP,synthetic_v2,9,direct_apk_7
332,"You have received a cashback of Rs 50000 from UPI Rewards.
कृपया 24 घंटे के भीतर कार्रवाई करें, अन्यथा आपका कनेक्शन काट दिया जाएगा।
नीचे दिए गए लिंक से ऐप इंस्टॉल करें।
upi-cashback-claim.xyz
UPI_Cashback.apk",spam,apk_fraud,upi_cashback,hi,link_apk,UPI Rewards,AD-ICICIB,synthetic_v2,9,direct_apk_7
